概念ID,概念名称,领域,MSC主编码,MSC次级编码
eigenvalue,特征值,代数学,15A18,"15Axx, 65F15"
jordan_normal_form,Jordan标准形,代数学,15A21,15Axx
tensor_product,张量积,代数学,15A69,"16D20, 18D10"
homological_algebra,同调代数,代数学,18Gxx,"13Dxx, 16Exx"
group_representation,群表示,代数学,20Cxx,"20G05, 22Exx"
character_theory,特征标理论,表示论,20C15,20Cxx
group_action,群作用,代数学,20Bxx,"20Cxx, 57Sxx"
sylow_theory,Sylow理论,代数学,20D20,"20D15, 20F50"
solvable_group,可解群,代数学,20F16,"20D10, 20Exx"
lie_group,Lie群,代数学,22E15,"22Exx, 20Gxx"
lie_algebra,Lie代数,代数学,17Bxx,"22E60, 17Bxx"
commutative_algebra,交换代数,代数学,13Axx,"13Cxx, 13Hxx"
algebraic_geometry,代数几何,代数学,14Axx,"14Fxx, 14Hxx"
scheme,概形,代数学,14A15,"14A20, 14Fxx"
sheaf,层,代数学,14F05,"18F20, 32C35"
cohomology_sheaf,上同调,代数学,14Fxx,"18G40, 32C35"
category_theory,范畴论,代数学,18Axx,"18Bxx, 18Cxx"
homotopy_algebra,同伦代数,代数学,18G55,"55U35, 18Gxx"
topological_space,拓扑空间,几何拓扑,54A05,"54Axx, 54Bxx"
continuous_map,连续映射,几何拓扑,54C05,"54C10, 54C20"
compactness,紧致性,几何拓扑,54D30,"54D20, 54E35"
connectedness,连通性,几何拓扑,54D05,"54D10, 54F15"
homotopy,同伦,几何拓扑,55Pxx,"55P10, 55P15"
fundamental_group,基本群,几何拓扑,55Q05,"55Q07, 57M05"
covering_space,覆叠空间,几何拓扑,57M10,"55R05, 14E20"
homology_group,同调群,几何拓扑,55Nxx,"55U15, 18Gxx"
cohomology,上同调,几何拓扑,55Nxx,"55U15, 18Gxx"
manifold,流形,几何拓扑,57N99,"57R99, 53A99"
tangent_space,切空间,几何拓扑,53B05,"58A05, 53A45"
tensor_field,张量场,几何拓扑,53A45,"58A10, 15A72"
differential_form,微分形式,几何拓扑,58A10,"53C65, 58Axx"
stokes_theorem,Stokes定理,几何拓扑,58C35,"58A10, 58Axx"
riemannian_metric,黎曼度量,几何拓扑,53B20,"53C20, 53A35"
curvature,曲率,几何拓扑,53A04,"53B20, 53C21"
geodesic,测地线,几何拓扑,53C22,"53B05, 58E10"
connection,联络,几何拓扑,53B05,"53C05, 58A05"
fiber_bundle,纤维丛,几何拓扑,55R10,"57R22, 53C05"
characteristic_class,示性类,几何拓扑,57R20,"55R40, 57Rxx"
morse_theory,Morse理论,几何拓扑,58E05,"57R70, 58Exx"
index_theorem,指标定理,几何拓扑,58J20,"19K56, 58Jxx"
symplectic_geometry,辛几何,动力系统,53D05,"37Jxx, 53Dxx"
complex_geometry,复几何,几何拓扑,32Qxx,"32Cxx, 53C55"
algebraic_topology,代数拓扑,几何拓扑,55Nxx,"55Mxx, 55Pxx"
divisibility,整除,数论逻辑,11A05,11Axx
congruence,同余,数论逻辑,11A07,"11Axx, 11B50"
primitive_root,原根,数论逻辑,11A07,11Axx
quadratic_residue,二次剩余,数论逻辑,11A15,11Axx
algebraic_integer,代数整数,数论逻辑,11R04,11Rxx
ideal,理想,数论逻辑,13A15,"11R29, 16D25"
class_number,类数,数论逻辑,11R29,"11Rxx, 11Sxx"
elliptic_curve,椭圆曲线,数论高级,11G05,"11Gxx, 14H52"
modular_form,模形式,数论高级,11F11,11Fxx
l_function,L函数,数论高级,11M06,"11Mxx, 11F66"
arithmetic_geometry,算术几何,数论高级,11G35,"11Gxx, 14Gxx"
p_adic_numbers,p进数,数论逻辑,11Sxx,"11S15, 11S20"
galois_representation,Galois表示,数论逻辑,11F80,11R39
automorphic_form,自守形式,数论高级,11Fxx,11F70
propositional_logic,命题逻辑,数论逻辑,03B05,03Bxx
predicate_logic,谓词逻辑,数论逻辑,03B10,"03C07, 03F03"
proof_theory,证明论,数理逻辑,03F03,03Fxx
model_theory,模型论,数论逻辑,03Cxx,"03C07, 03C64"
recursion_theory,递归论,数理逻辑,03Dxx,"03D10, 68Qxx"
set_theory,集合论,数论逻辑,03E20,03Exx
forcing,力迫法,数理逻辑,03E35,"03E40, 03E45"
large_cardinal,大基数,数理逻辑,03E55,"03E35, 03E60"
computability,可计算性,数论逻辑,03Dxx,"03D10, 68Q05"
complexity,复杂度,数论逻辑,68Q15,"03D15, 68Q17"
formalized_proof,形式化证明,数论逻辑,03Fxx,"03B35, 68V15"
probability_measure,概率测度,概率统计,60A10,"28Axx, 60Axx"
random_variable,随机变量,概率统计,60A10,60Exx
probability_distribution,概率分布,概率统计,60E05,62Exx
expectation,期望,概率统计,60A10,60Exx
conditional_probability,条件概率,概率统计,60A99,60Axx
bayes_theorem,贝叶斯定理,概率统计,60A99,"62F15, 62C10"
stochastic_process,随机过程,概率统计,60Gxx,60G07
markov_chain,马尔可夫链,概率统计,60J10,60Jxx
martingale,鞅,概率统计,60G42,"60Gxx, 60Hxx"
brownian_motion,布朗运动,概率统计,60J65,"60Jxx, 60Hxx"
law_of_large_numbers,大数定律,概率统计,60F05,60Fxx
central_limit_theorem,中心极限定理,概率统计,60F05,"60Fxx, 62E20"
statistical_inference,统计推断,概率统计,62Fxx,"62Jxx, 62Gxx"
parameter_estimation,参数估计,概率统计,62F10,"62F12, 62J05"
hypothesis_testing,假设检验,概率统计,62F03,"62Fxx, 62G10"
regression_analysis,回归分析,概率统计,62J05,"62Jxx, 62F10"
bayesian_inference,贝叶斯推断,概率统计,62F15,"62C10, 62Fxx"
time_series_analysis,时间序列分析,概率统计,62M10,"62M20, 91B84"
variance,方差,概率统计,60A10,62E10
maximum_likelihood,最大似然估计,概率统计,62F10,"62Fxx, 62Jxx"
optimization_problem,最优化问题,最优化,90Cxx,49Kxx
convex_set,凸集,最优化,52Axx,90C25
convex_function,凸函数,最优化,26A51,90C25
gradient,梯度,最优化,26B05,90C52
hessian_matrix,Hessian矩阵,最优化,26B05,90C30
gradient_descent,梯度下降法,最优化,90C52,"90C30, 65K05"
newton_method,牛顿法,最优化,65H10,90C53
conjugate_gradient,共轭梯度法,最优化,90C52,"65F10, 65K05"
lagrange_multiplier,拉格朗日乘子,最优化,49K99,90C46
kkt_conditions,KKT条件,最优化,90C46,"49Kxx, 90C30"
linear_programming,线性规划,最优化,90C05,90Cxx
simplex_method,单纯形法,最优化,90C05,90Cxx
convex_optimization,凸优化,最优化,90C25,"90Cxx, 49J53"
interior_point_method,内点法,最优化,90C51,"90C05, 65K05"
integer_programming,整数规划,最优化,90C10,"90Cxx, 90C57"
dynamic_programming,动态规划,最优化,49Lxx,"90C39, 93Cxx"
stochastic_optimization,随机优化,最优化,90C15,90Cxx
optimal_control,最优控制,最优化,49N10,"93Cxx, 49J15"
quadratic_programming,二次规划,最优化,90C20,"90C25, 65K05"
nonlinear_programming,非线性规划,最优化,90C30,90Cxx
control_system,控制系统,控制论,93Bxx,93Cxx
transfer_function,传递函数,控制论,93C05,93Bxx
state_space,状态空间,控制论,93C05,93Bxx
feedback_control,反馈控制,控制论,93B52,93Cxx
stability_analysis,稳定性分析,控制论,93Dxx,"93Cxx, 34D20"
pid_controller,PID控制器,控制论,93C35,93B52
root_locus,根轨迹法,控制论,93C05,93Bxx
bode_plot,Bode图,控制论,93C05,93Bxx
nyquist_criterion,Nyquist判据,控制论,93D10,93Cxx
controllability,能控性,控制论,93B05,93Cxx
observability,能观性,控制论,93B07,93Cxx
state_feedback,状态反馈,控制论,93B52,93Cxx
state_observer,状态观测器,控制论,93B07,93Cxx
kalman_filter,Kalman滤波,控制论,93E11,"60G35, 62M20"
lqr_control,LQR控制,控制论,93B36,"49N10, 93C05"
mpc,安全多方计算,密码学,93C30,"93Bxx, 49Mxx"
robust_control,鲁棒控制,控制论,93B35,"93D09, 93Cxx"
nonlinear_control,非线性控制,控制论,93C10,93Cxx
adaptive_control,自适应控制,控制论,93C40,93Cxx
system_identification,系统辨识,控制论,93B30,"93E12, 62F10"
information,信息,信息论,94A15,94Axx
shannon_entropy,香农熵,信息论,94A17,"94Axx, 60A10"
mutual_information,互信息,信息论,94A17,94Axx
kl_divergence,KL散度,信息论,94A17,"62B10, 94Axx"
source_coding,信源编码,信息论,94A29,"94Axx, 68P30"
channel_capacity,信道容量,信息论,94A40,94Axx
channel_coding,信道编码,信息论,94Bxx,94Axx
error_correction,纠错编码,信息论,94B35,94Bxx
reed_solomon,Reed-Solomon码,信息论,94B15,"94Bxx, 11T71"
ldpc_code,LDPC码,信息论,94B05,"94B35, 94B65"
data_compression,数据压缩,信息论,94A29,68P30
huffman_coding,Huffman编码,信息论,94A29,68P30
arithmetic_coding,算术编码,信息论,94A29,68P30
lossy_compression,有损压缩,信息论,94A34,94A08
rate_distortion,率失真理论,信息论,94A34,94Axx
network_information,网络信息论,信息论,94A15,94Axx
cryptographic_protocol,密码学协议,信息论,94A62,"94A60, 68P25"
quantum_information,量子信息,信息论,81P45,"94A40, 81P15"
algorithmic_information,算法信息论,信息论,68Q30,94A15
differential_privacy,差分隐私,信息论,68P25,94A60
symmetric_encryption,对称加密,密码学,94A60,"11T71, 14G50"
aes,AES,密码学,94A60,68P25
public_key,公钥密码学,密码学,94A60,"11T71, 14G50"
rsa,RSA,密码学,94A60,"11Axx, 11T71"
diffie_hellman,Diffie-Hellman,密码学,94A62,"11T71, 14G50"
elliptic_curve_crypto,椭圆曲线密码,密码学,94A60,"11G20, 14H52"
hash_function,哈希函数,密码学,94A60,68P05
digital_signature,数字签名,密码学,94A62,94A60
mac,消息认证码,密码学,94A62,94A60
zero_knowledge_proof,零知识证明,密码学,94A62,68Qxx
zk_snarks,zk-SNARKs,密码学,94A62,"68P25, 11T71"
homomorphic_encryption,同态加密,密码学,94A60,11T71
quantum_crypto,量子密码,密码学,81P94,94A60
post_quantum,后量子密码,密码学,94A60,"81P94, 11T71"
blockchain_consensus,区块链共识,密码学,68M14,"94A62, 91A80"
side_channel,侧信道攻击,密码学,94A60,68P25
provable_security,可证明安全,密码学,94A60,"68P25, 03Fxx"
lattice_based_crypto,格密码,密码学,94A60,"11Hxx, 68P25"
identity_based,基于身份的加密,密码学,94A62,"11T71, 14G50"
stochastic_calculus,随机分析,金融数学,60Hxx,91Gxx
ito_calculus,Itô微积分,金融数学,60H05,"60Hxx, 91Gxx"
ito_lemma,Itô引理,金融数学,60H05,"60Hxx, 91Gxx"
sde,随机微分方程,金融数学,60H10,"60Hxx, 91Gxx"
black_scholes,Black-Scholes模型,金融数学,91G20,"60Hxx, 91Gxx"
risk_neutral,风险中性定价,金融数学,91G20,"60Hxx, 91Gxx"
option_pricing,期权定价,金融数学,91G20,"91Gxx, 60Hxx"
greeks,希腊字母,金融数学,91G20,"91Gxx, 60Hxx"
implied_volatility,隐含波动率,金融数学,91G20,"91Gxx, 60Hxx"
volatility_smile,波动率微笑,金融数学,91G20,"91Gxx, 60Hxx"
stochastic_volatility,随机波动率模型,金融数学,91G20,"60H10, 91G80"
heston_model,Heston模型,金融数学,91G20,"60H10, 60J70"
monte_carlo_simulation,蒙特卡洛模拟,金融数学,65C05,"91G60, 65Cxx"
american_option,美式期权定价,金融数学,91G20,"60G40, 35R35"
binomial_tree,二叉树模型,金融数学,91G20,"60J80, 65C05"
fundamental_theorem,资产定价基本定理,金融数学,91G10,"60G44, 91G20"
interest_rate_model,利率模型,金融数学,91G30,"91Gxx, 60Hxx"
credit_risk,信用风险模型,金融数学,91G40,91Gxx
portfolio_optimization,投资组合优化,金融数学,91G10,"90C90, 49N15"
risk_management,风险管理,金融数学,91G70,"62P05, 91G40"
population_dynamics,种群动力学,生物数学,92D25,"34Cxx, 92Dxx"
logistic_growth,Logistic增长,生物数学,92D25,"34Cxx, 92Dxx"
predator_prey,捕食者-猎物模型,生物数学,92D25,"34Cxx, 34Dxx"
lotka_volterra,Lotka-Volterra方程,生物数学,92D25,"34Cxx, 92Dxx"
sir_model,SIR模型,生物数学,92D30,"34Cxx, 92Dxx"
seir_model,SEIR模型,生物数学,92D30,"34Cxx, 92Dxx"
reaction_diffusion,反应扩散方程,生物数学,35K57,"92Cxx, 35Bxx"
turing_pattern,Turing模式,生物数学,92C15,"35K57, 92Cxx"
evolutionary_dynamics,进化动力学,生物数学,92D15,"91A22, 92Dxx"
replicator_dynamics,复制动力学,生物数学,91A22,"92D15, 37N40"
ess,进化稳定策略,生物数学,92D15,"91A22, 91Axx"
phylogenetics,系统发生学,生物数学,92D15,"92B10, 05C05"
population_genetics,群体遗传学,生物数学,92D10,"92D15, 92Bxx"
coalescent_theory,溯祖理论,生物数学,92D15,"92D10, 60J70"
biological_oscillator,生物振荡器,生物数学,92C20,"34C15, 37N25"
neural_dynamics,神经动力学,生物数学,92B20,"37N25, 34Dxx"
hodgkin_huxley,Hodgkin-Huxley模型,生物数学,92C20,"34Cxx, 37N25"
chemotaxis,趋化性模型,生物数学,92C17,"35K57, 35Q92"
morphogenesis,形态发生,生物数学,92C15,"35K57, 92B05"
finite_difference,有限差分法,计算数学,65M06,"65N06, 65Mxx"
finite_element,有限元方法,计算数学,65N30,"65M60, 65Mxx"
finite_volume,有限体积法,计算数学,65M08,"65N08, 65Mxx"
spectral_method,谱方法,计算数学,65M70,"65N35, 65Mxx"
sparse_matrix,稀疏矩阵,计算数学,65F50,"65Fxx, 65Y05"
iterative_method,迭代法,计算数学,65F10,65Fxx
conjugate_gradient_method,共轭梯度法,计算数学,65F10,65Fxx
multigrid,多重网格法,计算数学,65N55,"65F10, 65M55"
preconditioner,预条件子,计算数学,65F08,65Fxx
numerical_integration,数值积分,计算数学,65D30,65Dxx
numerical_ode,常微分方程数值解,计算数学,65L05,65Lxx
runge_kutta,Runge-Kutta方法,计算数学,65L06,"65L05, 65Lxx"
numerical_pde,偏微分方程数值解,计算数学,65M06,"65Nxx, 65Mxx"
monte_carlo_numerical,蒙特卡洛数值方法,计算数学,65C05,"65Dxx, 60H35"
fast_fourier_transform,快速傅里叶变换,计算数学,65T50,"42A38, 65Txx"
numerical_linear_algebra,数值线性代数,计算数学,65Fxx,"65Y05, 15Axx"
domain_decomposition,区域分解,计算数学,65M55,"65N55, 65Y05"
adaptive_mesh,自适应网格,计算数学,65M50,"65N50, 65D17"
uncertainty_quantification,不确定性量化,计算数学,65Cxx,"60H35, 65Mxx"
classical_mechanics,经典力学,物理数学,70Fxx,37Jxx
lagrangian,拉格朗日力学,物理数学,70H03,"37Jxx, 70Fxx"
hamiltonian,哈密顿力学,物理数学,70H05,"37Jxx, 70Fxx"
hamiltonian_system,哈密顿系统,动力系统,37Jxx,"70Hxx, 53Dxx"
quantum_mechanics,量子力学,物理数学,81Qxx,81Pxx
schrodinger_equation,薛定谔方程,物理数学,81Q05,"35J10, 81Qxx"
path_integral,路径积分,物理数学,81S40,"81Txx, 58D30"
gauge_theory,规范理论,物理数学,81T13,"53C07, 81Txx"
general_relativity,广义相对论,物理数学,83Cxx,"53C50, 83Exx"
statistical_mechanics,统计力学,物理数学,82Bxx,"60K35, 82Cxx"
phase_transition,相变理论,物理数学,82B26,"82B27, 82Bxx"
electromagnetism,电磁学,物理数学,78Axx,"35Q61, 35Q60"
fluid_dynamics,流体动力学,物理数学,76Dxx,"35Q30, 76D05"
turbulence,湍流理论,物理数学,76Fxx,"76F05, 76F20"
quantum_field_theory,量子场论,物理数学,81Txx,"81T08, 81T10"
renormalization,重整化群,物理数学,81T17,"81Txx, 82B28"
conformal_field_theory,共形场论,物理数学,81T40,"81Rxx, 81Txx"
string_theory,弦理论,物理数学,81T30,"81Txx, 83E30"
supersymmetry,超对称,物理数学,81T60,"14D21, 58A50"
integrable_system,可积系统,物理数学,37Kxx,"35Q51, 58J72"
data_preprocessing,数据预处理,数据科学,62Nxx,68T05
feature_engineering,特征工程,数据科学,62Hxx,"68T05, 62-07"
pca,主成分分析,数据科学,62H25,"62Hxx, 15A18"
svm,支持向量机,数据科学,68T05,"62H30, 90C90"
decision_tree,决策树,数据科学,68T05,"62H30, 62-07"
random_forest,随机森林,数据科学,68T05,"62H30, 62-07"
gradient_boosting,梯度提升,数据科学,68T05,"62H30, 62-07"
neural_network,神经网络,数据科学,68T07,"92B20, 68T05"
backpropagation,反向传播,数据科学,68T07,"68T05, 90C26"
deep_learning,深度学习,数据科学,68T07,"68T05, 94A08"
cnn,卷积神经网络,数据科学,68T07,"68T45, 68U10"
rnn,循环神经网络,数据科学,68T07,"68T05, 93C57"
lstm,长短期记忆网络,数据科学,68T07,"68T05, 93C57"
attention,注意力机制,数据科学,68T07,"68T05, 94A12"
transformer,Transformer,数据科学,68T50,"68T07, 68T05"
adam_optimizer,Adam优化器,数据科学,68T07,90C26
batch_normalization,批归一化,数据科学,68T07,68T05
dropout,Dropout正则化,数据科学,68T07,68T05
autoencoder,自编码器,数据科学,68T07,"62H30, 68T05"
gan,生成对抗网络,数据科学,68T07,"68T05, 94A08"
reinforcement_learning,强化学习,数据科学,68T05,"93E35, 91A80"
higher_category,高阶范畴,范畴论,18Nxx,"18D05, 55U35"
infinity_category,无穷范畴,范畴论,18N60,"55U35, 18G55"
model_category,模型范畴,范畴论,18N40,"55U35, 18G30"
simplicial_set,单纯形集,范畴论,18N50,"55U10, 18G30"
monoidal_category,幺半范畴,范畴论,18M05,"18D10, 16T05"
abelian_category,Abel范畴,范畴论,18E10,"18G50, 16Exx"
triangulated_category,三角范畴,范畴论,18G80,"14F08, 16E35"
topos,拓扑斯,范畴论,18F10,"03G30, 14F20"
adjoint_functor,伴随函子,范畴论,18A40,"18A25, 18A30"
kan_extension,Kan扩张,范畴论,18A25,"18A40, 18G10"
enriched_category,富范畴,范畴论,18D20,"18D15, 18Mxx"
2_category,2-范畴,范畴论,18N10,"18D05, 18A25"
fibered_category,纤维范畴,范畴论,18F20,"14A20, 18D30"
stack_category,堆叠范畴,范畴论,14A20,"18F20, 14D23"
derived_functor_cat,导出函子（范畴论）,范畴论,18G10,"18G80, 18E10"
limits_colimits,极限与余极限,范畴论,18A30,"18A35, 18A40"
yoneda_lemma,米田引理,范畴论,18A25,"18A30, 18F20"
representable_functor,可表函子,范畴论,18A25,"18A30, 18F20"
groupoid,广群,范畴论,18B40,"20L05, 18D35"
bicategory,双范畴,范畴论,18N10,"18D05, 18A25"
derived_category,导出范畴,同调代数,18G80,"14F08, 16E35"
spectral_sequence,谱序列,同调代数,18G40,"55Txx, 18G10"
tor_functor,Tor函子,同调代数,18G15,"13D07, 16E30"
ext_functor,Ext函子,同调代数,18G15,"13D09, 16E30"
group_cohomology,群上同调,同调代数,20J06,"18Gxx, 55N91"
sheaf_cohomology,层上同调,同调代数,14F25,"18F20, 32C35"
local_cohomology,局部上同调,同调代数,13D45,"14B15, 32C36"
hypercohomology,超上同调,同调代数,14F40,"18G40, 32C35"
duality_cohomology,对偶定理（上同调）,同调代数,14Fxx,"18Gxx, 14B15"
perfect_complex,完美复形,同调代数,14F08,"18E30, 13D09"
tilting_theory,倾斜理论,同调代数,16E35,"18E30, 14F08"
t_structure,t-结构,同调代数,18G80,"14F08, 16E35"
perverse_sheaf,反常层,同调代数,32S60,"14F17, 14F43"
intersection_cohomology,相交上同调,同调代数,14F43,"32S60, 55N33"
koszul_duality,Koszul对偶,同调代数,16S37,"18Gxx, 17Bxx"
motive,Motive,代数几何,14C15,"14F42, 19E15"
algebraic_stack,代数堆叠,代数几何,14D23,"14A20, 18F20"
deligne_mumford,Deligne-Mumford堆叠,代数几何,14D22,"14D23, 14H10"
moduli_space,模空间,代数几何,14D20,"14H10, 14J10"
moduli_stack,模堆叠,代数几何,14D23,"14D20, 14A20"
etale_cohomology,平展上同调,代数几何,14F20,"14F30, 18F20"
crystalline_cohomology,晶体上同调,代数几何,14F30,"14F20, 14G22"
de_rham_cohomology,de Rham上同调,代数几何,14F40,"32C35, 58A12"
intersection_theory,相交理论,代数几何,14C17,"14C15, 14Nxx"
chow_ring,Chow环,代数几何,14C15,"14C17, 14F43"
hodge_theory,Hodge理论,代数几何,14C30,"32S35, 32G20"
biration_geometry,双有理几何,代数几何,14E05,"14E30, 14J40"
minimal_model,极小模型理论,代数几何,14E30,"14J40, 14E05"
derived_algebraic_geometry,导出代数几何,代数几何,14A30,"18G80, 14F08"
representation_lie_algebra,李代数表示论,表示论,17B10,"20C33, 22E47"
highest_weight,最高权理论,表示论,17B10,"22E47, 05E10"
category_O,范畴O,表示论,17B10,"16Gxx, 20C08"
geometric_representation,几何表示论,表示论,20G05,"14M15, 17B10"
modular_representation,模表示论,表示论,20C20,"20C33, 16Gxx"
induced_representation,诱导表示,表示论,20C05,"20C35, 22D30"
mackey_theory,Mackey理论,表示论,20C05,"22D30, 20C35"
weight_theory,权理论,表示论,17B10,"22E47, 20G05"
borel_weil,Borel-Weil定理,表示论,22E47,"14M15, 32L10"
class_field_theory,类域论,数论高级,11R37,11R23
langlands_program,Langlands纲领,数论高级,11R39,"11F70, 22E55"
abelian_variety,Abel簇,数论高级,14Kxx,"11G10, 14H40"
p_adic_number,p进数,数论高级,11Sxx,"11R23, 11F85"
valuation,赋值论,数论高级,12J20,"11Sxx, 13A18"
local_global,局部-整体原理,数论高级,11G30,"14G05, 11Dxx"
diophantine_geometry,丢番图几何,数论高级,11Gxx,"14Gxx, 11Dxx"
weil_conjecture,Weil猜想,数论高级,14F20,"14G10, 11M38"
zeta_function,Zeta函数,数论高级,11M41,"11M06, 14G10"
symplectic_manifold,辛流形,动力系统,53D05,"37Jxx, 53Dxx"
ergodic_theory,遍历理论,动力系统,37Axx,"28Dxx, 60G10"
chaos_theory,混沌理论,动力系统,37D45,"37Cxx, 37Nxx"
nonlinear_dynamics,非线性动力学,动力系统,37Nxx,"34Cxx, 34Dxx"
bifurcation_theory,分岔理论,动力系统,37Gxx,"34C23, 34K18"
k_theory_dynamics,动力系统K理论,动力系统,37B05,"19Lxx, 55N15"
conley_index,Conley指数,动力系统,37B30,"55Nxx, 37B35"
symbolic_dynamics,符号动力学,动力系统,37B10,"37B40, 68R15"
descriptive_set_theory,描述集合论,数理逻辑,03E15,03Exx
type_theory,类型论,数理逻辑,03B15,"03B40, 68N18"
homotopy_type_theory,同伦类型论,数理逻辑,03B38,"55U35, 68V20"
constructive_mathematics,构造数学,数理逻辑,03F50,"03F55, 03B20"
intuitionistic_logic,直觉主义逻辑,数理逻辑,03B20,"03F55, 03C90"
modal_logic,模态逻辑,数理逻辑,03B45,"03B42, 03B44"
reverse_math,逆数学,数理逻辑,03B30,"03F35, 03D80"
ordinal_analysis,序数分析,数理逻辑,03F15,"03F05, 03E10"
categorical_logic,范畴逻辑,数理逻辑,03G30,"18B25, 03B45"
real_numbers,实数,分析学,26A03,11A99
logic,逻辑,数论逻辑,03Bxx,"03B05, 03B10"
integers,整数,数论逻辑,11A99,"11A41, 13A99"
euclidean_space,欧几里得空间,几何拓扑,51M05,"51N20, 54E35"
