"Path","Size","HasFrontMatter","BodyLength","MathKeywords","Placeholder","Watermark","Category","Reason"
"E:\_src\FormalMath\docs\国际标准对齐指南-2025年1月.md","7532","True","1808","43","False","False","正常",""
"E:\_src\FormalMath\docs\国际标准对齐检查清单-2025年8月30日.md","11394","True","2256","90","False","False","正常",""
"E:\_src\FormalMath\docs\多任务推进看板-2025年1月.md","3415","True","753","12","False","False","正常",""
"E:\_src\FormalMath\docs\学习路径样例-代数几何.md","4188","True","813","28","False","False","正常",""
"E:\_src\FormalMath\docs\学习路径样例-同调代数.md","2911","True","647","34","False","False","正常",""
"E:\_src\FormalMath\docs\学习路径样例-微分几何.md","5135","True","1077","81","False","False","正常",""
"E:\_src\FormalMath\docs\学习路径样例-表示论.md","2870","True","630","25","False","False","正常",""
"E:\_src\FormalMath\docs\定理证明补充-2025年1月.md","13840","True","3031","135","False","False","正常",""
"E:\_src\FormalMath\docs\实例表征完善指南.md","9975","True","2302","66","False","False","正常",""
"E:\_src\FormalMath\docs\实例表征完善示例-实分析.md","18900","True","4108","202","False","False","正常",""
"E:\_src\FormalMath\docs\实例表征完善示例-拓扑学.md","17288","True","3823","172","False","False","正常",""
"E:\_src\FormalMath\docs\实例表征完善示例-数论.md","19799","True","3772","146","False","False","正常",""
"E:\_src\FormalMath\docs\实例表征完善示例-群论.md","17800","True","3414","88","False","False","正常",""
"E:\_src\FormalMath\docs\实例表征完善示例-集合论.md","17633","True","3788","238","False","False","正常",""
"E:\_src\FormalMath\docs\应用案例补充-2025年8月30日.md","14384","True","3454","66","False","False","正常",""
"E:\_src\FormalMath\docs\数学分类体系对齐分析报告.md","14920","True","3282","260","False","False","正常",""
"E:\_src\FormalMath\docs\数学符号使用规范-2025年1月.md","12796","True","2072","42","False","False","正常",""
"E:\_src\FormalMath\docs\文档命名规范.md","5460","True","1011","26","False","False","正常",""
"E:\_src\FormalMath\docs\文档质量标准.md","11940","True","2272","68","True","False","正常",""
"E:\_src\FormalMath\docs\新手入门指南.md","15789","True","2842","34","False","False","正常",""
"E:\_src\FormalMath\docs\术语与符号自动检查-MVP-2025年1月.md","3393","True","574","8","False","False","正常",""
"E:\_src\FormalMath\docs\术语标准化对照表.md","4390","True","911","63","False","False","正常",""
"E:\_src\FormalMath\docs\知识关联图谱系统-2025年8月30日.md","26584","True","3173","101","False","False","正常",""
"E:\_src\FormalMath\docs\社区治理模式.md","18337","True","3030","11","False","False","正常",""
"E:\_src\FormalMath\docs\视频资源规划.md","23042","True","5074","249","False","False","正常",""
"E:\_src\FormalMath\docs\贡献者审查清单.md","14105","True","2420","33","False","False","正常",""
"E:\_src\FormalMath\docs\质量检查清单-2025年1月.md","2461","True","531","15","False","False","正常",""
"E:\_src\FormalMath\docs\跨分支知识关联图谱-2025年11月20日.md","9617","True","1738","189","False","False","正常",""
"E:\_src\FormalMath\docs\链接维护指南.md","11940","True","2040","7","False","False","正常",""
"E:\_src\FormalMath\docs\项目索引.md","38355","True","5517","686","False","False","正常",""
"E:\_src\FormalMath\docs\00-FAQ\00-数学学习FAQ.md","17660","True","3885","80","False","False","正常",""
"E:\_src\FormalMath\docs\00-FAQ\01-分析学FAQ.md","13659","True","2538","83","False","False","正常",""
"E:\_src\FormalMath\docs\00-FAQ\02-代数学FAQ.md","14718","True","2945","56","False","False","正常",""
"E:\_src\FormalMath\docs\00-FAQ\05-常见误区澄清.md","17020","True","3391","78","False","False","正常",""
"E:\_src\FormalMath\docs\00-FAQ\README.md","251","False","50","0","False","False","B","正文过短且无实质数学内容"
"E:\_src\FormalMath\docs\00-习题示例反例库\00-习题库建设总纲.md","3212","True","503","24","False","False","正常",""
"E:\_src\FormalMath\docs\00-习题示例反例库\00-新增100题研究级习题汇总.md","9811","False","1488","77","False","False","正常",""
"E:\_src\FormalMath\docs\00-习题示例反例库\README.md","1536","False","371","31","False","False","正常",""
"E:\_src\FormalMath\docs\00-习题示例反例库\代数\ALG-001-群的定义验证.md","7703","True","1397","27","False","False","正常",""
"E:\_src\FormalMath\docs\00-习题示例反例库\代数\ALG-002-子群判定.md","7418","True","1273","34","False","False","正常",""
"E:\_src\FormalMath\docs\00-习题示例反例库\代数\ALG-003-拉格朗日定理的应用.md","8328","True","1573","55","False","False","正常",""
"E:\_src\FormalMath\docs\00-习题示例反例库\代数\ALG-004-群同态基本定理.md","9582","True","1764","113","False","False","正常",""
"E:\_src\FormalMath\docs\00-习题示例反例库\代数\ALG-005-正规子群的等价条件.md","8693","True","1595","50","False","False","正常",""
"E:\_src\FormalMath\docs\00-习题示例反例库\代数\ALG-006-商群的构造与性质.md","8650","True","1602","34","False","False","正常",""
"E:\_src\FormalMath\docs\00-习题示例反例库\代数\ALG-007-群作用与轨道-稳定化子定理.md","9610","True","1850","73","False","False","正常",""
"E:\_src\FormalMath\docs\00-习题示例反例库\代数\ALG-008-Sylow第一定理的应用.md","10267","True","1838","45","False","False","正常",""
"E:\_src\FormalMath\docs\00-习题示例反例库\代数\ALG-009-环的理想与商环.md","9847","True","1961","54","False","False","正常",""
"E:\_src\FormalMath\docs\00-习题示例反例库\代数\ALG-010-多项式环中的不可约性判定.md","11874","True","2239","45","False","False","正常",""
"E:\_src\FormalMath\docs\00-习题示例反例库\代数\ALG-011-循环群的生成元判定.md","6419","True","1068","32","False","False","正常",""
"E:\_src\FormalMath\docs\00-习题示例反例库\代数\ALG-012-元素阶的计算.md","6561","True","1058","21","False","False","正常",""
"E:\_src\FormalMath\docs\00-习题示例反例库\代数\ALG-013-循环群的自同构群.md","7055","True","1124","52","False","False","正常",""
"E:\_src\FormalMath\docs\00-习题示例反例库\代数\ALG-014-原根存在性.md","6774","True","1172","31","False","False","正常",""
"E:\_src\FormalMath\docs\00-习题示例反例库\代数\ALG-015-离散对数问题.md","7380","True","1210","17","False","False","正常",""
"E:\_src\FormalMath\docs\00-习题示例反例库\代数\ALG-016-Sn中的共轭类.md","8099","True","1331","29","False","False","正常",""
"E:\_src\FormalMath\docs\00-习题示例反例库\代数\ALG-017-置换的奇偶性.md","6698","True","1120","42","False","False","正常",""
"E:\_src\FormalMath\docs\00-习题示例反例库\代数\ALG-018-An的简单性.md","7085","True","1300","25","False","False","正常",""
"E:\_src\FormalMath\docs\00-习题示例反例库\代数\ALG-019-交错群的性质.md","7157","True","1113","34","False","False","正常",""
"E:\_src\FormalMath\docs\00-习题示例反例库\代数\ALG-020-置换矩阵.md","6857","True","1231","24","False","False","正常",""
"E:\_src\FormalMath\docs\00-习题示例反例库\代数\ALG-021-直积的判定.md","7332","True","1300","36","False","False","正常",""
"E:\_src\FormalMath\docs\00-习题示例反例库\代数\ALG-022-半直积的构造.md","7751","True","1331","42","False","False","正常",""
"E:\_src\FormalMath\docs\00-习题示例反例库\代数\ALG-023-非平凡半直积例子.md","7589","True","1343","30","False","False","正常",""
"E:\_src\FormalMath\docs\00-习题示例反例库\代数\ALG-024-内直积与外直积.md","7148","True","1283","46","False","False","正常",""
"E:\_src\FormalMath\docs\00-习题示例反例库\代数\ALG-025-群的扩张.md","7189","True","1328","36","False","False","正常",""
"E:\_src\FormalMath\docs\00-习题示例反例库\代数\ALG-026-代数扩张与超越扩张.md","7054","True","1263","67","False","False","正常",""
"E:\_src\FormalMath\docs\00-习题示例反例库\代数\ALG-027-分裂域.md","6946","True","1187","21","False","False","正常",""
"E:\_src\FormalMath\docs\00-习题示例反例库\代数\ALG-028-代数闭包.md","7933","True","1473","135","False","False","正常",""
"E:\_src\FormalMath\docs\00-习题示例反例库\代数\ALG-029-有限域的结构.md","6923","True","1247","27","False","False","正常",""
"E:\_src\FormalMath\docs\00-习题示例反例库\代数\ALG-030-本原元定理.md","7221","True","1253","32","False","False","正常",""
"E:\_src\FormalMath\docs\00-习题示例反例库\代数\ALG-031-域扩张的次数计算.md","4818","True","704","8","False","False","正常",""
"E:\_src\FormalMath\docs\00-习题示例反例库\代数\ALG-032-代数元与超越元.md","4568","True","790","48","False","False","正常",""
"E:\_src\FormalMath\docs\00-习题示例反例库\代数\ALG-033-分裂域与正规扩张.md","4221","True","792","16","False","False","正常",""
"E:\_src\FormalMath\docs\00-习题示例反例库\代数\ALG-034-Galois群的基本计算.md","4317","True","659","16","False","False","正常",""
"E:\_src\FormalMath\docs\00-习题示例反例库\代数\ALG-035-Galois对应基本定理.md","5087","True","877","23","False","False","正常",""
"E:\_src\FormalMath\docs\00-习题示例反例库\代数\ALG-036-可解扩张与根式解.md","4287","True","780","30","False","False","正常",""
"E:\_src\FormalMath\docs\00-习题示例反例库\代数\ALG-037-有限域的结构.md","4543","True","858","18","False","False","正常",""
"E:\_src\FormalMath\docs\00-习题示例反例库\代数\ALG-038-可分扩张与纯不可分扩张.md","4460","True","924","20","False","False","正常",""
"E:\_src\FormalMath\docs\00-习题示例反例库\代数\ALG-039-超越扩张与代数无关性.md","4201","True","855","58","False","False","正常",""
"E:\_src\FormalMath\docs\00-习题示例反例库\代数\ALG-040-Galois理论综合应用.md","4733","True","898","29","False","False","正常",""
"E:\_src\FormalMath\docs\00-习题示例反例库\代数\ALG-041-模的基本定义与例子.md","3479","True","694","37","False","False","正常",""
"E:\_src\FormalMath\docs\00-习题示例反例库\代数\ALG-042-子模与商模.md","3807","True","771","53","False","False","正常",""
"E:\_src\FormalMath\docs\00-习题示例反例库\代数\ALG-043-自由模与基.md","3454","True","687","20","False","False","正常",""
"E:\_src\FormalMath\docs\00-习题示例反例库\代数\ALG-044-模的直和与直积.md","3459","True","665","16","False","False","正常",""
"E:\_src\FormalMath\docs\00-习题示例反例库\代数\ALG-045-正合列与五引理.md","4415","True","800","40","False","False","正常",""
"E:\_src\FormalMath\docs\00-习题示例反例库\代数\ALG-046-Noether模与Artin模.md","4075","True","766","15","False","False","正常",""
"E:\_src\FormalMath\docs\00-习题示例反例库\代数\ALG-047-模的张量积.md","4194","True","814","35","False","False","正常",""
"E:\_src\FormalMath\docs\00-习题示例反例库\代数\ALG-048-模的局部化.md","3934","True","743","17","False","False","正常",""
"E:\_src\FormalMath\docs\00-习题示例反例库\代数\ALG-049-投射模与内射模.md","4042","True","826","24","False","False","正常",""
"E:\_src\FormalMath\docs\00-习题示例反例库\代数\ALG-050-模论综合应用.md","4149","True","830","20","False","False","正常",""
"E:\_src\FormalMath\docs\00-习题示例反例库\代数\ALG-051-群表示的基本概念.md","3978","True","795","29","False","False","正常",""
"E:\_src\FormalMath\docs\00-习题示例反例库\代数\ALG-052-特征标理论初步.md","4138","True","716","25","False","False","正常",""
"E:\_src\FormalMath\docs\00-习题示例反例库\代数\ALG-053-诱导表示与Frobenius互反.md","3979","True","698","21","False","False","正常",""
"E:\_src\FormalMath\docs\00-习题示例反例库\代数\ALG-054-表示论在群论中的应用.md","4064","True","805","32","False","False","正常",""
"E:\_src\FormalMath\docs\00-习题示例反例库\代数\ALG-055-表示论综合应用.md","4216","True","758","26","False","False","正常",""
"E:\_src\FormalMath\docs\00-习题示例反例库\代数\ALG-056-正合列基础.md","4064","True","744","33","False","False","正常",""
"E:\_src\FormalMath\docs\00-习题示例反例库\代数\ALG-056.md","3077","True","640","18","False","False","正常",""
"E:\_src\FormalMath\docs\00-习题示例反例库\代数\ALG-057-蛇形引理.md","4220","True","704","33","False","False","正常",""
"E:\_src\FormalMath\docs\00-习题示例反例库\代数\ALG-057.md","3448","True","684","14","False","False","正常",""
"E:\_src\FormalMath\docs\00-习题示例反例库\代数\ALG-058-长正合列.md","3966","True","640","12","False","False","正常",""
"E:\_src\FormalMath\docs\00-习题示例反例库\代数\ALG-058.md","2975","True","567","12","False","False","正常",""
"E:\_src\FormalMath\docs\00-习题示例反例库\代数\ALG-059-投射模与内射模.md","3555","True","742","16","False","False","正常",""
"E:\_src\FormalMath\docs\00-习题示例反例库\代数\ALG-059.md","3486","True","742","11","False","False","正常",""
"E:\_src\FormalMath\docs\00-习题示例反例库\代数\ALG-060-Ext与Tor函子.md","4658","True","825","14","False","False","正常",""
"E:\_src\FormalMath\docs\00-习题示例反例库\代数\ALG-060.md","3480","True","730","46","False","False","正常",""
"E:\_src\FormalMath\docs\00-习题示例反例库\代数\ALG-061-同调代数的泛性质.md","3048","True","630","21","False","False","正常",""
"E:\_src\FormalMath\docs\00-习题示例反例库\代数\ALG-061.md","3865","True","756","14","False","False","正常",""
"E:\_src\FormalMath\docs\00-习题示例反例库\代数\ALG-062-谱序列基础.md","3184","True","669","17","False","False","正常",""
"E:\_src\FormalMath\docs\00-习题示例反例库\代数\ALG-062.md","4187","True","778","12","False","False","正常",""
"E:\_src\FormalMath\docs\00-习题示例反例库\代数\ALG-063-群的同调.md","2926","True","563","15","False","False","正常",""
"E:\_src\FormalMath\docs\00-习题示例反例库\代数\ALG-063.md","3447","True","692","20","False","False","正常",""
"E:\_src\FormalMath\docs\00-习题示例反例库\代数\ALG-064-导出范畴初步.md","3099","True","609","48","False","False","正常",""
"E:\_src\FormalMath\docs\00-习题示例反例库\代数\ALG-064.md","3964","True","751","17","False","False","正常",""
"E:\_src\FormalMath\docs\00-习题示例反例库\代数\ALG-065-同调代数综合.md","3420","True","639","19","False","False","正常",""
"E:\_src\FormalMath\docs\00-习题示例反例库\代数\ALG-065.md","3544","True","714","21","False","False","正常",""
"E:\_src\FormalMath\docs\00-习题示例反例库\代数\ALG-066-范畴基本概念.md","3518","True","686","42","False","False","正常",""
"E:\_src\FormalMath\docs\00-习题示例反例库\代数\ALG-066.md","2939","True","561","26","False","False","正常",""
"E:\_src\FormalMath\docs\00-习题示例反例库\代数\ALG-067-可表函子与Yoneda引理.md","3265","True","629","31","False","False","正常",""
"E:\_src\FormalMath\docs\00-习题示例反例库\代数\ALG-067.md","2882","True","577","22","False","False","正常",""
"E:\_src\FormalMath\docs\00-习题示例反例库\代数\ALG-068-极限与余极限.md","2889","True","565","19","False","False","正常",""
"E:\_src\FormalMath\docs\00-习题示例反例库\代数\ALG-068.md","3116","True","626","18","False","False","正常",""
"E:\_src\FormalMath\docs\00-习题示例反例库\代数\ALG-069-伴随函子.md","3511","True","726","23","False","False","正常",""
"E:\_src\FormalMath\docs\00-习题示例反例库\代数\ALG-069.md","3068","True","594","19","False","False","正常",""
"E:\_src\FormalMath\docs\00-习题示例反例库\代数\ALG-070-积与上积.md","2908","True","615","20","False","False","正常",""
"E:\_src\FormalMath\docs\00-习题示例反例库\代数\ALG-070.md","3748","True","750","39","False","False","正常",""
"E:\_src\FormalMath\docs\00-习题示例反例库\代数\ALG-071-等价与等价范畴.md","3039","True","594","37","False","False","正常",""
"E:\_src\FormalMath\docs\00-习题示例反例库\代数\ALG-071.md","3376","True","696","34","False","False","正常",""
"E:\_src\FormalMath\docs\00-习题示例反例库\代数\ALG-072-Monad与代数.md","3005","True","537","29","False","False","正常",""
"E:\_src\FormalMath\docs\00-习题示例反例库\代数\ALG-072.md","2816","True","532","31","False","False","正常",""
"E:\_src\FormalMath\docs\00-习题示例反例库\代数\ALG-073.md","3900","True","757","52","False","False","正常",""
"E:\_src\FormalMath\docs\00-习题示例反例库\代数\ALG-074.md","4278","True","810","46","False","False","正常",""
"E:\_src\FormalMath\docs\00-习题示例反例库\代数\ALG-075.md","3902","True","841","37","False","False","正常",""
"E:\_src\FormalMath\docs\00-习题示例反例库\代数\ALG-076.md","3105","True","611","17","False","False","正常",""
"E:\_src\FormalMath\docs\00-习题示例反例库\代数\ALG-077.md","3157","True","570","23","False","False","正常",""
"E:\_src\FormalMath\docs\00-习题示例反例库\代数\ALG-078.md","3502","True","693","19","False","False","正常",""
"E:\_src\FormalMath\docs\00-习题示例反例库\代数\ALG-079.md","3534","True","719","24","False","False","正常",""
"E:\_src\FormalMath\docs\00-习题示例反例库\代数\ALG-080.md","3354","True","618","18","False","False","正常",""
"E:\_src\FormalMath\docs\00-习题示例反例库\代数\ALG-106-局部化与局部环.md","3189","True","620","13","False","False","正常",""
"E:\_src\FormalMath\docs\00-习题示例反例库\代数\ALG-107-Noether正规化定理.md","2705","True","540","23","False","False","正常",""
"E:\_src\FormalMath\docs\00-习题示例反例库\代数\ALG-108-正则序列与深度.md","3234","True","627","15","False","False","正常",""
"E:\_src\FormalMath\docs\00-习题示例反例库\代数\ALG-109-Cohen-Macaulay环.md","2594","True","505","17","False","False","正常",""
"E:\_src\FormalMath\docs\00-习题示例反例库\代数\ALG-110-完备化与Hensel引理.md","2980","True","564","21","False","False","正常",""
"E:\_src\FormalMath\docs\00-习题示例反例库\代数\ALG-111-素理想链与维数理论.md","2873","True","552","15","False","False","正常",""
"E:\_src\FormalMath\docs\00-习题示例反例库\代数\ALG-112-整闭包与正规环.md","2654","True","533","10","False","False","正常",""
"E:\_src\FormalMath\docs\00-习题示例反例库\代数\ALG-113-素谱与Zariski拓扑.md","2624","True","470","26","False","False","正常",""
"E:\_src\FormalMath\docs\00-习题示例反例库\代数\ALG-114-投射维数与整体维数.md","2943","True","567","17","False","False","正常",""
"E:\_src\FormalMath\docs\00-习题示例反例库\代数\ALG-115-判别式与整基.md","2892","True","479","9","False","False","正常",""
"E:\_src\FormalMath\docs\00-习题示例反例库\代数\ALG-116-赋值与Dedekind域.md","2779","True","530","17","False","False","正常",""
"E:\_src\FormalMath\docs\00-习题示例反例库\代数\ALG-117-交换代数综合应用.md","2811","True","555","20","False","False","正常",""
"E:\_src\FormalMath\docs\00-习题示例反例库\代数\ALG-118-交换代数竞赛题.md","2890","True","557","15","False","False","正常",""
"E:\_src\FormalMath\docs\00-习题示例反例库\代数\ALG-119-交换代数与代数几何的联系.md","2762","True","526","36","False","False","正常",""
"E:\_src\FormalMath\docs\00-习题示例反例库\代数\ALG-120-交换代数进阶综合.md","2918","True","601","29","False","False","正常",""
"E:\_src\FormalMath\docs\00-习题示例反例库\代数\ALG-121-有限群的表示.md","2452","True","467","13","False","False","正常",""
"E:\_src\FormalMath\docs\00-习题示例反例库\代数\ALG-122-特征标理论.md","2486","True","466","13","False","False","正常",""
"E:\_src\FormalMath\docs\00-习题示例反例库\代数\ALG-123-Frobenius互反性.md","3231","True","560","16","False","False","正常",""
"E:\_src\FormalMath\docs\00-习题示例反例库\代数\ALG-124-对称群的表示.md","2251","True","400","10","False","False","正常",""
"E:\_src\FormalMath\docs\00-习题示例反例库\代数\ALG-125-Burnside定理与p-q定理.md","2697","True","526","26","False","False","正常",""
"E:\_src\FormalMath\docs\00-习题示例反例库\代数\ALG-126-李群与李代数的表示.md","2647","True","490","18","False","False","正常",""
"E:\_src\FormalMath\docs\00-习题示例反例库\代数\ALG-127-诱导表示与Mackey理论.md","2979","True","580","10","False","False","正常",""
"E:\_src\FormalMath\docs\00-习题示例反例库\代数\ALG-128-舒尔引理与表示的分解.md","2489","True","497","30","False","False","正常",""
"E:\_src\FormalMath\docs\00-习题示例反例库\代数\ALG-129-舒尔正交关系与张量积.md","2192","True","426","14","False","False","正常",""
"E:\_src\FormalMath\docs\00-习题示例反例库\代数\ALG-130-表示论在群论中的应用.md","2855","True","577","28","False","False","正常",""
"E:\_src\FormalMath\docs\00-习题示例反例库\代数\ALG-131-有限群的特征标表.md","2697","True","424","6","False","False","正常",""
"E:\_src\FormalMath\docs\00-习题示例反例库\代数\ALG-132-表示的诱导与限制的对称性.md","3344","True","617","17","False","False","正常",""
"E:\_src\FormalMath\docs\00-习题示例反例库\代数\ALG-133-代数群与它们的表示.md","2653","True","549","29","False","False","正常",""
